last_name,first_name,year,Hitting+,Hitting+ Percentile,QOC+,QOC+ Percentile,PD+,PD+ Percentile,xK%,xBB%,xBIP%
Trout,Mike,2019,143,1.000,142,0.995,110,0.985,0.185,0.133,0.682
Rendon,Anthony,2019,131,0.995,115,0.874,110,0.986,0.102,0.115,0.783
Alvarez,Yordan,2019,128,0.992,132,0.983,103,0.741,0.226,0.102,0.672
Bellinger,Cody,2019,128,0.992,126,0.965,107,0.927,0.199,0.118,0.682
Betts,Mookie,2019,127,0.991,116,0.881,110,0.987,0.136,0.124,0.740
Yelich,Christian,2019,127,0.990,131,0.980,105,0.867,0.231,0.116,0.654
Judge,Aaron,2019,126,0.988,150,0.999,105,0.844,0.325,0.134,0.541
Cruz Jr.,Nelson,2019,123,0.982,136,0.988,102,0.669,0.279,0.109,0.612
Soto,Juan,2019,123,0.982,120,0.923,111,0.990,0.203,0.141,0.656
Freeman,Freddie,2019,123,0.981,118,0.906,105,0.871,0.175,0.104,0.721
Gallo,Joey,2019,123,0.980,159,0.999,105,0.871,0.376,0.148,0.475
Acuna Jr.,Ronald,2019,122,0.978,128,0.974,103,0.757,0.245,0.108,0.648
Ohtani,Shohei,2019,121,0.974,125,0.962,101,0.556,0.230,0.091,0.679
Bell,Josh,2019,121,0.973,115,0.870,109,0.980,0.183,0.130,0.687
Springer III,George,2019,121,0.972,123,0.946,106,0.902,0.233,0.121,0.646
Meadows,Austin,2019,120,0.969,123,0.942,103,0.696,0.222,0.098,0.679
Marte,Ketel,2019,119,0.962,109,0.776,105,0.842,0.141,0.093,0.767
Olson,Matt,2019,119,0.960,126,0.962,103,0.720,0.253,0.107,0.640
Harper,Bryce,2019,119,0.957,130,0.979,103,0.705,0.278,0.112,0.610
Alonso,Pete,2019,118,0.953,122,0.939,103,0.695,0.237,0.102,0.662
Cave,Jake,2019,118,0.952,128,0.972,101,0.549,0.269,0.099,0.632
Soler,Jorge,2019,118,0.952,130,0.978,103,0.763,0.285,0.117,0.598
Donaldson,Josh,2019,118,0.949,123,0.945,107,0.922,0.256,0.130,0.614
Correa,Carlos,2019,117,0.947,121,0.929,100,0.515,0.228,0.087,0.684
Garver,Mitch,2019,117,0.946,119,0.921,108,0.949,0.243,0.133,0.624
Martinez,J.D.,2019,117,0.946,120,0.923,100,0.510,0.224,0.086,0.690
Ozuna,Marcell,2019,117,0.945,119,0.921,104,0.796,0.233,0.109,0.658
Kendrick III,Howie,2019,117,0.942,111,0.806,99,0.369,0.156,0.061,0.783
LeMahieu,DJ,2019,116,0.938,108,0.744,102,0.666,0.146,0.080,0.775
Schwarber,Kyle,2019,116,0.936,121,0.932,104,0.829,0.253,0.116,0.631
Conforto,Michael,2019,115,0.932,115,0.878,106,0.878,0.225,0.117,0.658
Cron,C.J.,2019,115,0.931,119,0.916,97,0.247,0.223,0.066,0.711
Freese,David,2019,115,0.930,124,0.954,100,0.449,0.266,0.091,0.643
Turner,Justin,2019,115,0.925,106,0.702,104,0.780,0.152,0.089,0.759
Abreu,Jose,2019,115,0.923,118,0.913,96,0.186,0.225,0.060,0.715
Biggio,Cavan,2019,114,0.922,114,0.852,112,0.997,0.247,0.159,0.594
Sano,Miguel,2019,114,0.921,138,0.992,100,0.497,0.344,0.112,0.544
Polanco,Jorge,2019,114,0.919,105,0.669,105,0.850,0.149,0.096,0.755
Luplow,Jordan,2019,114,0.916,112,0.831,108,0.954,0.226,0.130,0.644
Muncy,Max,2019,114,0.911,119,0.919,107,0.923,0.267,0.133,0.600
Diaz,Yandy,2019,114,0.908,107,0.737,107,0.922,0.186,0.115,0.699
Sanchez,Gary,2019,113,0.905,128,0.974,97,0.288,0.300,0.086,0.614
Castellanos,Nick,2019,113,0.904,116,0.894,94,0.108,0.218,0.049,0.734
Semien,Marcus,2019,113,0.902,103,0.634,108,0.961,0.162,0.119,0.719
Walker,Christian,2019,113,0.897,116,0.891,103,0.696,0.244,0.103,0.653
Lowe,Nathaniel,2019,113,0.896,116,0.890,103,0.701,0.243,0.103,0.654
