Season,Team,Level,Age,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2011,LAA,MLB,19,40,135,5,20,16,4,6.70%,22.20%,0.171,0.247,0.22,0.281,0.39,0.296,,87,1.8,-0.2,2.4,0.7
2012,LAA,MLB,20,139,639,30,129,83,49,10.50%,21.80%,0.238,0.383,0.326,0.399,0.564,0.409,,167,14.3,64.4,10.2,10.1
2013,LAA,MLB,21,157,716,27,109,97,33,15.40%,19.00%,0.234,0.376,0.323,0.432,0.557,0.423,,176,8.2,70.5,0.5,10.2
2014,LAA,MLB,22,157,705,36,115,111,16,11.80%,26.10%,0.274,0.349,0.287,0.377,0.561,0.402,,167,6.2,57.8,-4.5,8.3
2015,LAA,MLB,23,159,682,41,104,90,11,13.50%,23.20%,0.29,0.344,0.299,0.402,0.59,0.415,0.422,171,3,58.7,6.6,9.3
2016,LAA,MLB,24,159,681,29,123,100,30,17.00%,20.10%,0.235,0.371,0.315,0.441,0.55,0.418,0.427,170,9.6,67,-6.4,8.6
2017,LAA,MLB,25,114,507,33,92,72,22,18.50%,17.80%,0.323,0.318,0.306,0.442,0.629,0.437,0.425,180,4,54.4,-7.2,6.4
2018,LAA,MLB,26,140,608,39,101,79,24,20.10%,20.40%,0.316,0.346,0.312,0.46,0.628,0.447,0.434,188,5,69.2,2.5,9.5
2019,LAA,MLB,27,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,0.46,177,7.1,65.9,-1.5,8.4
2020,LAA,MLB,28,53,241,17,41,46,1,14.50%,23.20%,0.322,0.3,0.281,0.39,0.603,0.407,0.428,160,1.3,19,-2.5,2.5
2021,LAA,MLB,29,36,146,8,23,18,2,18.50%,28.10%,0.291,0.456,0.333,0.466,0.624,0.451,0.425,189,1.5,17.5,-0.5,2.2
2022,LAA,MLB,30,106,441,36,74,71,1,10.70%,28.60%,0.34,0.31,0.273,0.361,0.613,0.409,0.394,170,-0.7,34,1.3,5.2
